Modality;OMP;MPI;tree_creation_time;communication_time;rb_search_time;program_execution_time;speedup;efficiency
Sequential;0;0;3.13131850;0.00000000;0.00000175;3.13159850;4.18126174;104.5315
OMP+MPI;1;1;3.09659675;0.00554950;0.00003225;3.27350825;1.00000000;100.0000
OMP+MPI;1;2;3.80928175;0.00596325;0.00002300;3.99516800;0.81936686;40.9683
OMP+MPI;1;4;4.41678550;0.00741350;0.00018525;4.62622350;0.70759838;17.6900
OMP+MPI;1;8;5.65244800;0.01232150;0.00046100;5.94787425;0.55036608;6.8796
OMP+MPI;2;1;3.19023225;0.00558425;0.00043450;3.36914475;0.97161401;48.5807
OMP+MPI;2;2;3.78840800;0.00614250;0.00029550;3.97553950;0.82341233;20.5853
OMP+MPI;2;4;4.39076125;0.00785075;0.00035600;4.59935900;0.71173141;8.8966
OMP+MPI;2;8;5.67524225;0.01115100;0.00075425;5.96324475;0.54894749;3.4309
OMP+MPI;4;1;3.15562800;0.00553975;0.00055300;3.33288025;0.98218598;24.5546
OMP+MPI;4;2;3.75963625;0.00619450;0.00044600;3.94789750;0.82917762;10.3647
OMP+MPI;4;4;4.39281225;0.00756800;0.00050725;4.60193825;0.71133250;4.4458
OMP+MPI;4;8;5.73011000;0.03477750;0.00103975;6.04179800;0.54181028;1.6932
OMP+MPI;8;1;3.20786600;0.00550950;0.00115950;3.39146525;0.96521946;12.0652
OMP+MPI;8;2;3.74732350;0.00621100;0.00080750;3.93465675;0.83196793;5.1998
OMP+MPI;8;4;4.41522625;0.00819825;0.00076675;4.62327200;0.70805011;2.2127
OMP+MPI;8;8;5.67349650;0.01351975;0.00072225;5.96514550;0.54877257;0.8575
OMP+MPI;16;1;3.09979650;0.00554075;0.00181600;3.27934450;0.99822030;6.2389
OMP+MPI;16;2;3.74387550;0.00600600;0.00105775;3.92986050;0.83298332;2.6031
OMP+MPI;16;4;4.44594825;0.00755375;0.00098600;4.65588550;0.70309037;1.0986
OMP+MPI;16;8;5.62910800;0.01914350;0.00099450;5.91840650;0.55310636;0.4321
